DEBUG:root:Continuing training...
INFO:root:The model will run on cuda
INFO:root:step 0: train loss 1.6262, val loss 1.8053, iteration time 0.0000
INFO:root:step 500: train loss 1.6037, val loss 1.8055, iteration time 0.0307
INFO:root:step 1000: train loss 1.6430, val loss 1.8455, iteration time 0.0346
INFO:root:step 1500: train loss 1.6173, val loss 1.8243, iteration time 0.0335
INFO:root:step 2000: train loss 1.6319, val loss 1.7839, iteration time 0.0325
INFO:root:step 2500: train loss 1.6517, val loss 1.8017, iteration time 0.0331
INFO:root:step 3000: train loss 1.6308, val loss 1.8010, iteration time 0.0330
INFO:root:step 3500: train loss 1.6162, val loss 1.7996, iteration time 0.0319
INFO:root:step 4000: train loss 1.6300, val loss 1.8332, iteration time 0.0332
INFO:root:step 4500: train loss 1.6375, val loss 1.7675, iteration time 0.0331
INFO:root:step 5000: train loss 1.6105, val loss 1.7922, iteration time 0.0335
INFO:root:step 5500: train loss 1.6216, val loss 1.7937, iteration time 0.0335
INFO:root:step 6000: train loss 1.6239, val loss 1.8032, iteration time 0.0336
INFO:root:step 6500: train loss 1.6369, val loss 1.8016, iteration time 0.0316
INFO:root:step 7000: train loss 1.5976, val loss 1.8141, iteration time 0.0329
INFO:root:step 7500: train loss 1.6043, val loss 1.8069, iteration time 0.0316
INFO:root:step 8000: train loss 1.6474, val loss 1.7884, iteration time 0.0346
INFO:root:step 8500: train loss 1.6329, val loss 1.7804, iteration time 0.0320
INFO:root:step 9000: train loss 1.6314, val loss 1.7684, iteration time 0.0334
INFO:root:step 9500: train loss 1.6667, val loss 1.7917, iteration time 0.0336
INFO:root:step 10000: train loss 1.6231, val loss 1.7838, iteration time 0.0333
INFO:root:step 10500: train loss 1.6602, val loss 1.7731, iteration time 0.0338
INFO:root:step 11000: train loss 1.6048, val loss 1.8378, iteration time 0.0344
INFO:root:step 11500: train loss 1.6712, val loss 1.7806, iteration time 0.0333
INFO:root:step 12000: train loss 1.6096, val loss 1.7911, iteration time 0.0337
INFO:root:step 12500: train loss 1.6205, val loss 1.8100, iteration time 0.0326
INFO:root:step 13000: train loss 1.6087, val loss 1.8001, iteration time 0.0334
INFO:root:step 13500: train loss 1.6127, val loss 1.7851, iteration time 0.0317
INFO:root:step 14000: train loss 1.6269, val loss 1.8462, iteration time 0.0322
INFO:root:step 14500: train loss 1.6243, val loss 1.8325, iteration time 0.0327
INFO:root:step 15000: train loss 1.6262, val loss 1.8359, iteration time 0.0333
INFO:root:step 15500: train loss 1.6120, val loss 1.7936, iteration time 0.0334
INFO:root:step 16000: train loss 1.6147, val loss 1.8421, iteration time 0.0341
INFO:root:step 16500: train loss 1.6186, val loss 1.8311, iteration time 0.0338
INFO:root:step 17000: train loss 1.6228, val loss 1.8198, iteration time 0.0347
INFO:root:step 17500: train loss 1.6591, val loss 1.7995, iteration time 0.0333
INFO:root:step 18000: train loss 1.6413, val loss 1.7976, iteration time 0.0327
INFO:root:step 18500: train loss 1.6135, val loss 1.8219, iteration time 0.0331
INFO:root:step 19000: train loss 1.6259, val loss 1.8427, iteration time 0.0339
INFO:root:step 19500: train loss 1.6321, val loss 1.7942, iteration time 0.0334
INFO:root:step 20000: train loss 1.6483, val loss 1.8092, iteration time 0.0335
INFO:root:step 20500: train loss 1.6303, val loss 1.8032, iteration time 0.0341
INFO:root:step 21000: train loss 1.6148, val loss 1.7946, iteration time 0.0338
INFO:root:step 21500: train loss 1.6279, val loss 1.8515, iteration time 0.0318
INFO:root:step 22000: train loss 1.6460, val loss 1.8064, iteration time 0.0332
INFO:root:step 22500: train loss 1.6499, val loss 1.8352, iteration time 0.0325
INFO:root:step 23000: train loss 1.6264, val loss 1.8187, iteration time 0.0328
INFO:root:step 23500: train loss 1.6180, val loss 1.7968, iteration time 0.0336
INFO:root:step 24000: train loss 1.6227, val loss 1.8110, iteration time 0.0352
INFO:root:step 24500: train loss 1.6313, val loss 1.7736, iteration time 0.0346
INFO:root:step 25000: train loss 1.6450, val loss 1.7927, iteration time 0.0326
INFO:root:step 25500: train loss 1.6218, val loss 1.8272, iteration time 0.0322
INFO:root:step 26000: train loss 1.6248, val loss 1.8312, iteration time 0.0351
INFO:root:step 26500: train loss 1.6608, val loss 1.8041, iteration time 0.0317
INFO:root:step 27000: train loss 1.5990, val loss 1.8254, iteration time 0.0323
INFO:root:step 27500: train loss 1.6238, val loss 1.7958, iteration time 0.0336
INFO:root:step 28000: train loss 1.6398, val loss 1.7989, iteration time 0.0326
INFO:root:step 28500: train loss 1.6030, val loss 1.8021, iteration time 0.0343
INFO:root:step 29000: train loss 1.6171, val loss 1.7790, iteration time 0.0332
INFO:root:step 29500: train loss 1.6333, val loss 1.7620, iteration time 0.0327
INFO:root:step 30000: train loss 1.6060, val loss 1.8273, iteration time 0.0323
INFO:root:step 30500: train loss 1.6328, val loss 1.7867, iteration time 0.0337
INFO:root:step 31000: train loss 1.6447, val loss 1.8405, iteration time 0.0334
INFO:root:step 31500: train loss 1.6284, val loss 1.8300, iteration time 0.0337
INFO:root:step 32000: train loss 1.6813, val loss 1.8413, iteration time 0.0348
INFO:root:step 32500: train loss 1.6489, val loss 1.7962, iteration time 0.0318
INFO:root:step 33000: train loss 1.6622, val loss 1.8216, iteration time 0.0320
INFO:root:step 33500: train loss 1.6438, val loss 1.7759, iteration time 0.0341
INFO:root:step 34000: train loss 1.6394, val loss 1.7960, iteration time 0.0335
INFO:root:step 34500: train loss 1.6302, val loss 1.7843, iteration time 0.0322
INFO:root:step 35000: train loss 1.6055, val loss 1.8068, iteration time 0.0355
INFO:root:step 35500: train loss 1.6505, val loss 1.7917, iteration time 0.0315
INFO:root:step 36000: train loss 1.6570, val loss 1.8197, iteration time 0.0300
INFO:root:step 36500: train loss 1.6228, val loss 1.8167, iteration time 0.0313
INFO:root:step 37000: train loss 1.6647, val loss 1.8201, iteration time 0.0359
INFO:root:step 37500: train loss 1.6444, val loss 1.8016, iteration time 0.0336
INFO:root:step 38000: train loss 1.6395, val loss 1.7994, iteration time 0.0360
INFO:root:step 38500: train loss 1.6142, val loss 1.7791, iteration time 0.0393
INFO:root:step 39000: train loss 1.6367, val loss 1.8488, iteration time 0.0455
INFO:root:step 39500: train loss 1.6182, val loss 1.8084, iteration time 0.0360
INFO:root:step 40000: train loss 1.6329, val loss 1.7866, iteration time 0.0435
INFO:root:step 40500: train loss 1.6356, val loss 1.8253, iteration time 0.0417
INFO:root:step 41000: train loss 1.6387, val loss 1.8236, iteration time 0.0455
INFO:root:step 41500: train loss 1.6441, val loss 1.7954, iteration time 0.0364
INFO:root:step 42000: train loss 1.5994, val loss 1.7940, iteration time 0.0364
INFO:root:step 42500: train loss 1.6239, val loss 1.8010, iteration time 0.0379
INFO:root:step 43000: train loss 1.6499, val loss 1.8004, iteration time 0.0375
INFO:root:step 43500: train loss 1.5989, val loss 1.7914, iteration time 0.0347
INFO:root:step 44000: train loss 1.6034, val loss 1.8211, iteration time 0.0365
INFO:root:step 44500: train loss 1.6098, val loss 1.8288, iteration time 0.0370
INFO:root:step 45000: train loss 1.6513, val loss 1.8027, iteration time 0.0370
INFO:root:step 45500: train loss 1.6163, val loss 1.8172, iteration time 0.0354
INFO:root:step 46000: train loss 1.6061, val loss 1.8087, iteration time 0.0383
INFO:root:step 46500: train loss 1.6441, val loss 1.8279, iteration time 0.0354
INFO:root:step 47000: train loss 1.6538, val loss 1.8201, iteration time 0.0899
INFO:root:step 47500: train loss 1.6336, val loss 1.8116, iteration time 0.0399
INFO:root:step 48000: train loss 1.6122, val loss 1.8378, iteration time 0.0386
INFO:root:step 48500: train loss 1.6430, val loss 1.8201, iteration time 0.0407
INFO:root:step 49000: train loss 1.6447, val loss 1.7520, iteration time 0.0401
INFO:root:step 49500: train loss 1.5986, val loss 1.7590, iteration time 0.0420
INFO:root:step 50000: train loss 1.6164, val loss 1.7773, iteration time 0.0367
INFO:root:step 50500: train loss 1.6242, val loss 1.8484, iteration time 0.0401
INFO:root:step 51000: train loss 1.6327, val loss 1.8106, iteration time 0.0389
INFO:root:step 51500: train loss 1.6143, val loss 1.8206, iteration time 0.0363
INFO:root:step 52000: train loss 1.6450, val loss 1.7888, iteration time 0.0341
INFO:root:step 52500: train loss 1.5933, val loss 1.8050, iteration time 0.0376
INFO:root:step 53000: train loss 1.6052, val loss 1.7866, iteration time 0.0432
INFO:root:step 53500: train loss 1.6430, val loss 1.7738, iteration time 0.0391
INFO:root:step 54000: train loss 1.6363, val loss 1.7908, iteration time 0.0396
INFO:root:step 54500: train loss 1.6061, val loss 1.8061, iteration time 0.0438
INFO:root:step 55000: train loss 1.6117, val loss 1.7935, iteration time 0.0421
INFO:root:step 55500: train loss 1.5930, val loss 1.8258, iteration time 0.0419
INFO:root:step 56000: train loss 1.5943, val loss 1.7809, iteration time 0.0429
INFO:root:step 56500: train loss 1.6242, val loss 1.7906, iteration time 0.0413
INFO:root:step 57000: train loss 1.6020, val loss 1.8240, iteration time 0.0428
INFO:root:step 57500: train loss 1.6054, val loss 1.8165, iteration time 0.0430
INFO:root:step 58000: train loss 1.6242, val loss 1.7771, iteration time 0.0536
INFO:root:step 58500: train loss 1.6171, val loss 1.8095, iteration time 0.0312
INFO:root:step 59000: train loss 1.6186, val loss 1.8202, iteration time 0.0327
INFO:root:step 59500: train loss 1.6143, val loss 1.8201, iteration time 0.0308
INFO:root:step 60000: train loss 1.6070, val loss 1.8400, iteration time 0.0307
INFO:root:step 60500: train loss 1.6398, val loss 1.7722, iteration time 0.0304
INFO:root:step 61000: train loss 1.6257, val loss 1.8090, iteration time 0.0300
INFO:root:step 61500: train loss 1.6303, val loss 1.8083, iteration time 0.0303
INFO:root:step 62000: train loss 1.6109, val loss 1.7945, iteration time 0.0305
INFO:root:step 62500: train loss 1.6145, val loss 1.7855, iteration time 0.0301
INFO:root:step 63000: train loss 1.6053, val loss 1.7723, iteration time 0.0304
INFO:root:step 63500: train loss 1.6423, val loss 1.7779, iteration time 0.0308
INFO:root:step 64000: train loss 1.6317, val loss 1.7971, iteration time 0.0304
INFO:root:step 64500: train loss 1.6107, val loss 1.8156, iteration time 0.0311
INFO:root:step 65000: train loss 1.6082, val loss 1.7890, iteration time 0.0301
INFO:root:step 65500: train loss 1.6175, val loss 1.8235, iteration time 0.0303
INFO:root:step 66000: train loss 1.6135, val loss 1.7954, iteration time 0.0306
INFO:root:step 66500: train loss 1.6251, val loss 1.7854, iteration time 0.0302
INFO:root:step 67000: train loss 1.6100, val loss 1.7683, iteration time 0.0308
INFO:root:step 67500: train loss 1.5953, val loss 1.8007, iteration time 0.0314
INFO:root:step 68000: train loss 1.6070, val loss 1.8009, iteration time 0.0305
INFO:root:step 68500: train loss 1.6066, val loss 1.7697, iteration time 0.0302
INFO:root:step 69000: train loss 1.6362, val loss 1.8116, iteration time 0.0346
INFO:root:step 69500: train loss 1.6347, val loss 1.8021, iteration time 0.0304
INFO:root:step 70000: train loss 1.6119, val loss 1.8284, iteration time 0.0306
INFO:root:step 70500: train loss 1.5968, val loss 1.7906, iteration time 0.0304
INFO:root:step 71000: train loss 1.6294, val loss 1.7874, iteration time 0.0318
INFO:root:step 71500: train loss 1.6161, val loss 1.7803, iteration time 0.0303
INFO:root:step 72000: train loss 1.6277, val loss 1.7923, iteration time 0.0305
INFO:root:step 72500: train loss 1.6347, val loss 1.8018, iteration time 0.0306
INFO:root:step 73000: train loss 1.6108, val loss 1.8237, iteration time 0.0301
INFO:root:step 73500: train loss 1.6589, val loss 1.7986, iteration time 0.0315
INFO:root:step 74000: train loss 1.5990, val loss 1.7850, iteration time 0.0303
INFO:root:step 74500: train loss 1.5914, val loss 1.7965, iteration time 0.0302
INFO:root:step 75000: train loss 1.6261, val loss 1.7943, iteration time 0.0312
INFO:root:step 75500: train loss 1.6268, val loss 1.7982, iteration time 0.0312
INFO:root:step 76000: train loss 1.6200, val loss 1.7822, iteration time 0.0302
INFO:root:step 76500: train loss 1.6110, val loss 1.8421, iteration time 0.0311
INFO:root:step 77000: train loss 1.6225, val loss 1.8318, iteration time 0.0310
INFO:root:step 77500: train loss 1.6361, val loss 1.8211, iteration time 0.0315
INFO:root:step 78000: train loss 1.6038, val loss 1.7797, iteration time 0.0300
