DEBUG:root:Continuing training...
INFO:root:The model will run on cuda
INFO:root:step 0: train loss 1.6216, val loss 1.8203, iteration time 0.0000
INFO:root:step 500: train loss 1.6245, val loss 1.7890, iteration time 0.0316
INFO:root:step 1000: train loss 1.6037, val loss 1.7845, iteration time 0.0317
INFO:root:step 1500: train loss 1.6367, val loss 1.8070, iteration time 0.0314
INFO:root:step 2000: train loss 1.6272, val loss 1.8212, iteration time 0.0318
INFO:root:step 2500: train loss 1.6321, val loss 1.8210, iteration time 0.0319
INFO:root:step 3000: train loss 1.6157, val loss 1.7945, iteration time 0.0315
INFO:root:step 3500: train loss 1.6232, val loss 1.7924, iteration time 0.0316
INFO:root:step 4000: train loss 1.6373, val loss 1.7751, iteration time 0.0316
INFO:root:step 4500: train loss 1.6017, val loss 1.7993, iteration time 0.0316
INFO:root:step 5000: train loss 1.6420, val loss 1.8238, iteration time 0.0318
INFO:root:step 5500: train loss 1.6354, val loss 1.7833, iteration time 0.0318
INFO:root:step 6000: train loss 1.5791, val loss 1.7791, iteration time 0.0313
INFO:root:step 6500: train loss 1.6068, val loss 1.8133, iteration time 0.0313
INFO:root:step 7000: train loss 1.6227, val loss 1.8123, iteration time 0.0326
INFO:root:step 7500: train loss 1.6046, val loss 1.8010, iteration time 0.0321
INFO:root:step 8000: train loss 1.6270, val loss 1.7948, iteration time 0.0325
INFO:root:step 8500: train loss 1.5918, val loss 1.8130, iteration time 0.0315
INFO:root:step 9000: train loss 1.6122, val loss 1.8038, iteration time 0.0315
INFO:root:step 9500: train loss 1.6211, val loss 1.7847, iteration time 0.0314
INFO:root:step 10000: train loss 1.6182, val loss 1.7816, iteration time 0.0315
INFO:root:step 10500: train loss 1.6285, val loss 1.8257, iteration time 0.0312
INFO:root:step 11000: train loss 1.6246, val loss 1.7856, iteration time 0.0316
INFO:root:step 11500: train loss 1.6032, val loss 1.7937, iteration time 0.0314
INFO:root:step 12000: train loss 1.6247, val loss 1.8292, iteration time 0.0302
INFO:root:step 12500: train loss 1.6219, val loss 1.8101, iteration time 0.0311
INFO:root:step 13000: train loss 1.6382, val loss 1.7748, iteration time 0.0314
INFO:root:step 13500: train loss 1.6489, val loss 1.8277, iteration time 0.0313
INFO:root:step 14000: train loss 1.5802, val loss 1.7505, iteration time 0.0312
INFO:root:step 14500: train loss 1.6179, val loss 1.8273, iteration time 0.0312
INFO:root:step 15000: train loss 1.6218, val loss 1.8329, iteration time 0.0312
INFO:root:step 15500: train loss 1.6192, val loss 1.7453, iteration time 0.0320
INFO:root:step 16000: train loss 1.6176, val loss 1.8308, iteration time 0.0311
INFO:root:step 16500: train loss 1.6081, val loss 1.7706, iteration time 0.0313
INFO:root:step 17000: train loss 1.6158, val loss 1.8089, iteration time 0.0316
INFO:root:step 17500: train loss 1.5992, val loss 1.8103, iteration time 0.0302
INFO:root:step 18000: train loss 1.6223, val loss 1.8063, iteration time 0.0302
